序號,抽籤日期,證券名稱,證券代號,發行市場,申購開始日,申購結束日,承銷股數,實際承銷股數,承銷價(元),實際承銷價(元),撥券日期(上市、上櫃日期),主辦券商,申購股數,總承銷金額(元),總合格件,中籤率(%),取消公開抽籤 
176,114/09/16,動力-KY,6591,第一上市公司現金增資,114/09/10,114/09/12,"196,000","196,000",62,62,114/09/24,康和,"1,000","12,152,000","189,312",0.1,
177,114/09/12,泰鼎-KY,4927,第一上市公司現金增資,114/09/08,114/09/10,"3,825,000","3,825,000",20,20,114/09/22,凱基,"1,000","76,500,000","178,055",2.14,
178,114/09/11,新代,7750,初上市,114/09/05,114/09/09,"1,287,000","1,287,000",630,630,114/09/17,台新,"1,000","810,810,000","170,592",0.75,
179,114/09/09,禾榮科,7799,初上市,114/09/03,114/09/05,"2,843,000","2,843,000",600,600,114/09/15,富邦,"1,000","1,705,800,000","165,684",1.71,
180,114/09/04,意德士,7556,上櫃增資,114/08/29,114/09/02,"68,000","68,000",142,142,114/09/12,元大,"1,000","9,656,000","119,182",0.05,
181,114/09/03,振大環球,4441,初上市,114/08/28,114/09/01,"1,468,000","1,468,000",190.46,190.46,114/09/09,福邦,"1,000","279,595,280","174,042",0.84,
182,114/09/03,大研生醫,7780,初上市,114/08/28,114/09/01,"6,615,000","6,615,000",158,158,114/09/09,凱基,"1,000","1,045,170,000","422,980",1.56,
183,114/09/02,中華資安,7765,初上市,114/08/27,114/08/29,"626,000","626,000",238,238,114/09/08,元大,"1,000","148,988,000","247,214",0.25,
184,114/08/29,精成科,6191,上市增資,114/08/25,114/08/27,"2,125,000","2,125,000",75,75,114/09/08,宏遠,"1,000","159,375,000","321,391",0.66,
185,114/08/29,太普高,3284,上櫃增資,114/08/25,114/08/27,"450,000","450,000",20,20,114/09/08,永豐金,"1,000","9,000,000","18,445",2.43,
186,114/08/27,大成鋼,2027,上市增資,114/08/21,114/08/25,"12,750,000","12,750,000",31,31,114/09/04,統一,"1,000","395,250,000","293,124",4.34,
187,114/08/21,康聯訊,3672,上櫃增資,114/08/15,114/08/19,"765,000","765,000",13.5,13.5,114/08/29,國票,"1,000","10,327,500","16,507",4.63,
188,114/08/20,竑騰,7751,初上櫃,114/08/14,114/08/18,"451,000","451,000",360,360,114/08/26,台新,"1,000","162,360,000","137,657",0.32,
189,114/08/15,友霖,4166,初上櫃,114/08/11,114/08/13,"3,500,000","3,500,000",28,28,114/08/21,元富,"1,000","98,000,000","79,812",4.38,
190,114/08/13,佳和,1449,上市增資,114/08/07,114/08/11,"1,700,000","1,700,000",10.8,10.8,114/08/21,群益金鼎,"1,000","18,360,000","59,279",2.86,
191,114/08/07,閎暉,3311,上市增資,114/08/01,114/08/05,"2,720,000","2,720,000",27.5,27.5,114/08/15,台新,"1,000","74,800,000","220,680",1.23,
192,114/08/06,泰福-KY,6541,上市增資,114/07/31,114/08/04,"2,210,000","2,210,000",48,48,114/08/14,台新,"1,000","106,080,000","29,731",7.43,
193,114/08/05,新晶投控,3713,上櫃增資,114/07/30,114/08/01,"850,000","850,000",18,18,114/08/13,第一金,"1,000","15,300,000","21,412",3.96,
194,114/08/05,竣邦-KY,4442,第一上櫃公司現金增資,114/07/30,114/08/01,"225,000","225,000",40,40,114/08/13,台新,"1,000","9,000,000","57,712",0.38,
195,114/08/05,星亞,7753,初上櫃,114/07/30,114/08/01,"593,000","593,000",45,45,114/08/11,凱基,"1,000","26,685,000","194,166",0.3,
196,114/07/31,凌航,3135,初上市,114/07/25,114/07/29,"2,050,000","2,050,000",28,28,114/08/06,統一,"1,000","57,400,000","153,588",1.33,
197,114/07/24,信紘科,6667,上櫃增資,114/07/18,114/07/22,"264,000","264,000",153,153,114/08/01,台新,"1,000","40,392,000","197,262",0.13,
198,114/07/23,微程式,7721,初上市,114/07/17,114/07/21,"1,003,000","1,003,000",53,53,114/07/29,富邦,"1,000","53,159,000","217,474",0.46,
199,114/07/23,碩網,7547,初上櫃,114/07/17,114/07/21,"655,000","655,000",60,60,114/07/29,永豐金,"1,000","39,300,000","260,712",0.25,
